id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
42538587,"A+, Secure & Luxury site, residence suit",268517742,Murat,,Kucukcekmece,41.04488,28.7599,Entire home/apt,318,7,1,2020-06-29,0.16,2,178
42539506,Zion Home Attic Double Room Include Netflix,23037431,Yasin,,Kadikoy,40.99411,29.02671,Private room,193,1,15,2020-11-26,1.46,12,180
42539696,Zion Home Suit Room Include Netflix,23037431,Yasin,,Kadikoy,40.99414,29.02668,Entire home/apt,306,1,36,2020-12-16,5.24,12,178
42544400,Otel konforunda adalar manzaralı daire,57301747,Cihan,,Kartal,40.89669,29.22109,Entire home/apt,238,1,0,,,1,9
42546616,Cozy flat in Kadıköy Yeldeğirmeni,84330083,Alp,,Kadikoy,40.99585,29.02983,Entire home/apt,200,1,4,2020-10-16,0.39,2,0
42549146,2 KİŞİLİK STUDİO,64005421,Güven,,Fatih,41.00619,28.97188,Entire home/apt,409,1,1,2020-10-27,0.43,8,365
42549193,Ağaçlar arasında güzel bir sitede deniz manzaralı,168845861,Armagan,,Kadikoy,40.96605,29.09993,Entire home/apt,1116,1,0,,,1,90
42551110,• COZY APARTMENT IN CENTRAL LOCATION • ISTANBUL,216191060,İpek Deniz,,Sisli,41.07414,28.99435,Private room,109,1,0,,,2,363
42552540,YALOVA ÇINARCIKTA  GÜNLÜK KİRALIK 1+1 05324643637,338118856,Arkın,,Kadikoy,40.99553,29.03449,Entire home/apt,300,1,0,,,1,365
42553713,Rahat bir ev :),250565775,Begum,,Kadikoy,40.98564,29.02414,Entire home/apt,318,3,0,,,2,89
42553958,Küçükyalı marmaraya yakin. Room  close to marmaray,81052336,Bige,,Maltepe,40.95057,29.10355,Private room,80,1,2,2020-12-18,0.20,1,0
42554102,PERA RED FLOWER HOUSE İN TAKSİM,229048031,Ilhan,,Beyoglu,41.03719,28.97331,Entire home/apt,163,2,9,2020-11-29,0.87,16,330
42554518,2+1 merkezi temiz ve sakin apartman odasi kiralik,338964223,Mohammadreza,,Sisli,41.07273,29.0024,Private room,75,1,0,,,1,180
42555492,GalataYellowB Teracce,269489503,Birol,,Beyoglu,41.02774,28.97342,Entire home/apt,745,4,8,2020-12-17,2.31,3,179
42556299,Holiday in Style,338966981,Desir,,Pendik,40.92743,29.31616,Shared room,70,28,0,,,1,61
42556376,"On main road, near to airport, flat in mall",338978991,Mehmet,,Maltepe,40.92186,29.15888,Entire home/apt,220,21,2,2020-07-21,0.21,2,161
42557938,temiz sakin bir ev ortamı,234702257,Seda,,Tuzla,40.85502,29.29413,Private room,75,1,1,2020-12-04,0.94,1,180
42558320,Locaa 34,338993888,Türkan,,Kagithane,41.07885,28.96589,Entire home/apt,250,1,0,,,1,0
42558668,Standard Double Room with Breakfast | Sarı Konak,188477417,Umit,,Fatih,41.00482,28.97858,Private room,327,1,0,,,9,365
42558819,Triple Room with Breakfast | Sarı Konak,188477417,Umit,,Fatih,41.00542,28.97884,Private room,572,1,0,,,9,2
42558918,Family Connecting Room with Breakfast | Sarı Konak,188477417,Umit,,Fatih,41.00552,28.97946,Private room,736,1,0,,,9,365
42560894,Highfloor Studio with a View of Princes Islands,240752705,Güneri & Irina,,Atasehir,40.99173,29.08582,Entire home/apt,263,5,6,2020-12-14,0.62,2,178
42561009,GAR Suit Esenyurt - No: 4,240829379,Gökhan,,Esenyurt,41.01763,28.68323,Entire home/apt,175,1,5,2020-11-06,0.49,18,365
42564704,Stüdyo Daire Metrobüs Güzergahı,339048102,Hamza,,Esenyurt,41.01779,28.64293,Shared room,95,1,0,,,1,0
42569357,There is very quiet with high security.,338754508,Najmeh,,Esenyurt,41.02495,28.65306,Entire home/apt,223,5,0,,,1,364
42570286,Close to the new 'Istanbul Airport',307096220,Muhammet,,Arnavutkoy,41.19497,28.72966,Entire home/apt,554,1,1,2020-09-27,0.30,5,365
42570546,Split Duplex Sleeps 4 people.,337003134,Sultan,,Beyoglu,41.03703,28.98217,Entire home/apt,150,1,2,2020-11-13,0.34,15,356
42570810,With Two Rooms 4th Floor,326112231,Menekşe,,Beyoglu,41.02819,28.97408,Entire home/apt,445,2,0,,,5,279
42570942,nice view & safety flat,195329620,Sadık,,Beyoglu,41.03235,28.98705,Private room,133,3,1,2020-10-15,0.38,2,327
42571687,Oldies but goldies,18887510,Zehra Serap,,Fatih,41.03443,28.94594,Private room,70,1,0,,,1,90
42572627,ONLY FOR LADIES Friendly Safe Center,146360731,Elif Gülşah,,Sisli,41.05668,28.97768,Private room,136,1,2,2020-08-26,0.26,2,179
42573432,Vintage Cozy Rooms with Nice View,100259886,Anıl,,Bakirkoy,40.98918,28.83839,Private room,136,1,0,,,1,90
42573758,Golden Arrow Stream 3 Clean and Private Suit,236709555,Gökhan,,Beyoglu,41.03956,28.97709,Entire home/apt,180,3,4,2020-11-30,0.40,13,365
42573780,THE BEST LOCATİON OF İSTANBUL,8602558,Yaşar,,Beyoglu,41.03566,28.98057,Entire home/apt,245,1,1,2020-03-01,0.10,6,365
42574678,Aram host,106884017,Aram,,Beyoglu,41.02673,28.97421,Shared room,185,1,0,,,1,365
42575211,Cute Flat at Cihangir Taksim,216301795,Mehmet,,Beyoglu,41.0299,28.98273,Entire home/apt,383,1,0,,,1,364
42575891,Esenyurt Üniversitesi Yanı Eşyalı Daire 8,240829379,Gökhan,,Esenyurt,41.01926,28.68392,Entire home/apt,175,1,4,2020-08-23,0.39,18,360
42576313,Vip,339149931,Akın,,Zeytinburnu,41.02581,28.90177,Entire home/apt,255,1,0,,,1,179
